epoch,train_loss,train_acc,val_loss,val_acc
1,4.871830105781555,0.011976047904191617,4.426994223748484,0.025290844714213456
2,3.9742989540100098,0.07350815610158992,3.586926321829519,0.11836115326251896
3,3.4839867227955867,0.12905224034689242,3.5085344699121292,0.13201820940819423
4,3.28005062592657,0.16911005575056784,3.335203516867853,0.18866970156803237
5,3.144584589882901,0.1955399545736114,3.155281445672435,0.20586747597369753
6,2.9866179651335667,0.22176336981209993,3.1303838241484856,0.23672230652503792
7,2.882216259052879,0.25273590749535413,3.0822667421833163,0.25392008093070306
8,2.7567409355389443,0.2880446004542639,3.090918994718982,0.2407688416793121
9,2.6567529424240717,0.30497625438777615,2.8942741540170487,0.28578654527061204
10,2.5523161150907216,0.3274829651042742,2.818483171924468,0.310065756196257
11,2.4706517724614394,0.34379516828412143,2.8015135757384764,0.3115832068791098
12,2.3769381963892986,0.37022506710716496,2.770706336344442,0.33788568538189173
13,2.267924137021366,0.3916993599008879,2.704509952375966,0.3480020232675771
14,2.198740047059561,0.40904398100351025,2.7835952197351763,0.34294385432473445
15,2.137066909357121,0.422258930415032,2.6965368889993235,0.35558927668184115
16,2.021739661693573,0.44084245302498454,2.7451329231262207,0.35154274152756704
17,1.9688573863945509,0.46396861449514765,2.78563162203758,0.3388973191704603
18,1.8748996210725684,0.4792483997522197,2.613049570591219,0.38088012139605465
19,1.8204241645963568,0.49969027462316745,2.676199411192248,0.38239757207890746
20,1.7299087306386547,0.5164154449721248,2.7157777605518216,0.38239757207890746
21,1.683071767813281,0.5277720421226513,2.7299572498567644,0.39504299443601415
22,1.6098717043274327,0.5488333677472641,2.632061027711438,0.41021750126454226
23,1.5815530313472999,0.5500722692545943,2.710895057647459,0.38694992412746587
24,1.477319536632613,0.5806318397687383,2.729610243151265,0.4071825998988366
25,1.4077349097320908,0.600041296716911,2.659595078037631,0.4279210925644917
26,1.349846231702127,0.6118108610365476,2.798866158531558,0.4193222053616591
27,1.3210358835364644,0.6116043774519926,2.741084789076159,0.4193222053616591
28,1.2245265853248144,0.6388602106132563,3.0083008331637227,0.3915022761760243
29,1.187144333202588,0.6535205451166632,2.8297145097486434,0.4238745574102175
30,1.1442494466900826,0.6580631839768738,2.8714888153537625,0.4193222053616591
